prod_id,cat_id
MPE428794763,MPE1747
MPE428350537,MPE1747
MPE419837773,MPE1747
MPE436520902,MPE1747
MPE430734667,MPE1747
MPE440222388,MPE417044
MPE440745819,MPE417044
MPE440497767,MPE417044
MPE440497660,MPE417044
MPE440497722,MPE417044
MPE440497580,MPE417044
MPE440530290,MPE417044
MPE440507165,MPE417044
MPE440355496,MPE417044
MPE440630347,MPE417044
MPE440318851,MPE417044
MPE440547762,MPE417044
MPE440444847,MPE417044
MPE440657577,MPE417044
MPE440692146,MPE417044
MPE436402465,MPE1071
MPE435361670,MPE1071
MPE438249918,MPE1071
MPE436577582,MPE1071
MPE436546031,MPE1071
MPE435765207,MPE1071
MPE436775984,MPE1071
MPE436807051,MPE1071
MPE428351507,MPE1071
MPE436577914,MPE1071
MPE419592596,MPE1071
MPE438796260,MPE1071
MPE438788058,MPE1071
MPE429486128,MPE1071
MPE436573526,MPE1071
MPE434396475,MPE1071
MPE436715578,MPE1071
MPE436420472,MPE1071
MPE439310281,MPE1071
MPE436748343,MPE1071
MPE437817997,MPE1071
MPE439273035,MPE1071
MPE439484058,MPE1071
MPE419537808,MPE1071
MPE437875435,MPE1071
MPE438423358,MPE1071
MPE437556204,MPE1071
MPE436573530,MPE1071
MPE436748672,MPE1071
MPE434353648,MPE1071
MPE438078015,MPE1071
MPE435969140,MPE1071
MPE437971224,MPE1071
MPE436402552,MPE1071
MPE436684084,MPE1071
MPE438477928,MPE1071
MPE438707403,MPE1071
MPE439753755,MPE1071
MPE440040503,MPE1071
MPE431084014,MPE1071
MPE439159136,MPE1071
MPE438249898,MPE1071
MPE436581657,MPE1071
MPE438704133,MPE1071
MPE437971056,MPE1071
MPE433158225,MPE1071
MPE439158957,MPE1071
MPE425217029,MPE1071
MPE438788393,MPE1071
MPE438420458,MPE1071
MPE440295020,MPE442345
MPE440198233,MPE442345
MPE440323606,MPE442345
MPE440162331,MPE442345
MPE440524040,MPE442345
MPE440061694,MPE442345
MPE440237419,MPE442345
MPE440061636,MPE442345
MPE440283254,MPE442345
MPE440309476,MPE442345
MPE440726749,MPE442345
MPE440365795,MPE442345
MPE440172582,MPE442345
MPE440050676,MPE442345
MPE440059868,MPE442345
MPE440324644,MPE442345
MPE440822164,MPE442345
